﻿﻿﻿﻿﻿﻿﻿﻿Company_Names,Company_website,Company_PR_Website
3M,http://www.3m.com/,http://news.3m.com/
3SBio Inc.,http://3sbio.com/,http://3sbio.com/en/investors/press-releases/
"3-V Biosciences, Inc.",http://www.3vbio.com/,http://www.3vbio.com/category/press-releases/
4d Pharma,http://www.4dpharmaplc.com/,http://www.4dpharmaplc.com/investors/rns
4SC AG,http://www.4sc.com/,http://www.4sc.com/news/id/942707/
"60° Pharmaceuticals, LLC",http://60degreespharma.com/,http://www.60degreespharma.com/News.html
7TM Pharma,none,
"AADi, LLC",http://aadibio.com/,http://aadibio.com/news/
AB Science S.A.,http://ab-science.com/,http://ab-science.com/en/news
Abbott Laboratories,http://www.abbott.com/,http://abbott.mediaroom.com/
AbbVie Inc.,https://www.abbvie.com/,https://news.abbvie.com/news/press-releases/
Abivax S.A.,http://www.abivax.com/en/,http://www.abivax.com/en/news-events/press-releases/
Ablynx N.V.,http://www.ablynx.com/,http://www.ablynx.com/news/press-releases/
Acacia Pharma Ltd,http://www.acaciapharma.com/,http://www.acaciapharma.com/index.php/news
"Acasti Pharma, Inc.",http://www.acastipharma.com/,http://www.acastipharma.com/investors/
"Acceleron Pharma, Inc.",http://www.acceleronpharma.com/,http://investor.acceleronpharma.com/releases.cfm
"Accera, Inc.",http://www.accerapharma.com/,http://www.accerapharma.com/category/press-releases/
"AcelRx Pharmaceuticals, Inc.",http://www.acelrx.com/,http://www.acelrx.com/media/index.php
"Acer Therapeutics, Inc.",http://acertx.com/,http://acertx.com/news/
Acerta Pharma BV,http://www.acerta-pharma.com/,http://www.acerta-pharma.com/news/
Acerus Pharmaceuticals Corporation,http://www.aceruspharma.com/English/home/default.aspx,http://www.aceruspharma.com/English/news/default.aspx
Achaogen Inc.,http://www.achaogen.com/,http://www.achaogen.com/media
"Achillion Pharmaceuticals, Inc.",http://www.achillion.com/,http://ir.achillion.com/releases.cfm?relnav=media
"Aclaris Therapeutics, Inc.",http://www.aclaristx.com/,http://phx.corporate-ir.net/phoenix.zhtml?c=254196&p=irol-news&nyo=0
"Acologix, Inc.",none,
"Acorda Therapeutics, Inc.",http://www.acorda.com/,http://www.acorda.com/news
"Actinium Pharmaceuticals, Inc.",http://www.actiniumpharma.com/,http://ir.actiniumpharma.com/press-releases/detail/176
Actinogen Medical,http://actinogen.com.au/,http://actinogen.com.au/acw-investor-centre/#announcements
Action Pharma A/S,none,
"Actis Biologics, Inc.",none,
Activartis Biotech GmbH,http://www.activartis.com/en.html,http://www.activartis.com/en/news-media/downloads/presseinformationen.html
"ActivBiotics Pharma, LLC",none,
Active Biotech AB,http://activebiotech.com/,http://www.activebiotech.com/press-releases
Acucela Inc.,http://www.acucela.com/,
"Acura Pharmaceuticals, Inc.",http://acurapharm.com/,http://investors.acurapharm.com/events.cfm
"Adamas Pharmaceuticals, Inc.",http://www.adamaspharma.com/,http://www.adamaspharma.com/news/
Adamis Pharmaceuticals Corporation,http://www.adamispharmaceuticals.com/,http://www.adamispharmaceuticals.com/investors/news-releases/
Adapt Pharma Limited,http://adaptpharma.com/,http://adaptpharma.com/news-events/press-releases/
Adaptimmune Ltd.,http://www.adaptimmune.com/,http://ir.adaptimmune.com/phoenix.zhtml?c=253991&p=irol-news&nyo=0
ADC Therapeutics SA,http://www.adctherapeutics.com/,http://www.adctherapeutics.com/
Addex Therapeutics,http://www.addextherapeutics.com/,http://www.addextherapeutics.com/investors/press-releases/
"Aderis Pharmaceuticals, Inc.",http://www.ucb.com/,http://www.ucb.com/stories-media/Press-Releases
"ADial Pharmaceuticals, LLC",http://www.adialpharma.com/,
"ADMA Biologics, Inc.",http://www.admabiologics.com/,http://www.admabiologics.com/news
Adocia SAS,http://www.adocia.fr/WP/,http://www.adocia.fr/WP/news-pressreleases/
Advanced Accelerator Applications SA,http://www.adacap.com/,http://www.adacap.com/category/press-releases/
"Advanced Life Sciences Holdings, Inc.",http://www.advancedlifesciences.com/,
Advanced Viral Research Corp.,none,
"Advancell - Advanced In Vitro Cell Technologies, S.A.",none,
"Advantagene, Inc.",http://advantagene.com/,http://www.advantagene.com/news.html
"Advaxis, Inc.",http://www.advaxis.com/,http://ir.advaxis.com/press-releases
"Advenchen Laboratories, LLC",http://advenchen.com/,
Advicenne,http://advicenne.com/en/,http://advicenne.com/en/category/news
"Adynxx, Inc.",http://www.adynxx.com/,http://www.adynxx.com/news-media/
"Aegera Therapeutics, Inc.",http://ewww.aegera.com/,
"Aegerion Pharmaceuticals, Inc.",http://www.novelion.com/,http://www.novelion.com/about-novelion/news
"Aeglea Biotherapeutics, Inc.",http://www.aegleabio.com/,http://ir.aegleabio.com/phoenix.zhtml?c=254096&p=irol-news&nyo=0
"Aequus Pharmaceuticals, Inc.",http://www.aequuspharma.ca/EN/index.htm,http://www.aequuspharma.ca/en/investors/press-releases.htm
"Aerie Pharmaceuticals, Inc.",http://aeriepharma.com/,http://investors.aeriepharma.com/releases.cfm?view=all
"Aerovance, Inc.",none,
"Aerpio Therapeutics, Inc.",http://www.aerpio.com/,http://www.aerpio.com/news/
"Aestus Therapeutics, Inc.",none,
Affectis Pharmaceuticals AG,http://www.affectis.com/,
Afferent Pharmaceuticals,http://www.afferentpharma.com/,http://www.afferentpharma.com/press-releases/
Affibody AB,http://www.affibody.se/,http://www.affibody.se/press-news/
"Affymax, Inc.",http://www.affymax.com/,
Agalimmune Inc.,http://www.agalimmune.com/,
Agennix AG,none,
Agenus Inc.,http://agenusbio.com/,http://investor.agenusbio.com/press-releases/all/all/all
"Agile Therapeutics, Inc.",http://agiletherapeutics.com/,http://ir.agiletherapeutics.com/releases.cfm?view=all
"Agios Pharmaceuticals, Inc.",http://www.agios.com/,http://investor.agios.com/phoenix.zhtml?c=251862&p=irol-news&nyo=0
AiCuris GmbH & Co. KG,http://www.aicuris.com/,http://www.aicuris.com/110/News-Media/Press-releases/-2017.htm
"Aileron Therapeutics, Inc",http://aileronrx.com/,
AIMM Therapeutics B.V.,http://www.aimmtherapeutics.com/,http://www.aimmtherapeutics.com/category/news-and-events/
"Aimmune Therapeutics, Inc.",http://www.aimmune.com/,http://ir.aimmune.com/phoenix.zhtml?c=254097&p=irol-pressReleases&nyo=0
"Ajinomoto Pharmaceuticals Co., Ltd.",http://www.ajinomoto.com/index.asp,http://www.ajinomoto.com/en/presscenter/index.asp
"Akashi Therapeutics, Inc.",http://akashirx.com/,http://akashirx.com/category/news/
"Akebia Therapeutics, Inc.",http://akebia.com/,http://akebia.com/media/press-releases/
Akinion Pharmaceuticals AB,http://akinion.com/,http://www.akinion.com/news/
Akron Molecules AG,http://www.akron-molecules.com/,
Alba Therapeutics Corporation,www.innovatebiopharma.com/,http://www.innovatebiopharma.com/press-releases.html
Albireo Pharma,http://www.albireopharma.com/,http://www.albireopharma.com/category/news/
Alchemia Limited,http://www.alchemia.com.au/,http://www.alchemia.com.au/InvestorCentre/ASXPressReleases.aspx?page=10
Alcobra Ltd.,http://www.alcobra-pharma.com/,http://www.alcobra-pharma.com/releases.cfm
Aldea Pharmaceuticals,http://aldeapharmaceuticals.com/index.html,
"Alder Biopharmaceuticals, Inc.",http://www.alderbio.com/,http://investor.alderbio.com/releases.cfm
"Aldeyra Therapeutics, Inc.",http://www.aldeyra.com/,http://ir.aldeyra.com/releases.cfm
Alembic Pharmaceuticals Limited,http://www.alembicpharmaceuticals.com/,http://www.alembicpharmaceuticals.com/media/
AlgiPharma AS,http://algipharma.com/,http://algipharma.com/news/
"Alimera Sciences, Inc.",http://www.alimerasciences.com/,http://investor.alimerasciences.com/releases.cfm
"Alitair Pharmaceuticals, Inc.",http://alitair.com/,http://alitair.com/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=137
Alkermes plc,http://www.alkermes.com/,http://phx.corporate-ir.net/phoenix.zhtml?c=92211&p=irol-corporateNews&nyo=0
"Alkeus Pharmaceuticals, Inc.",http://alkeuspharma.com/,http://alkeuspharma.com/press.html
"Allegro Ophthalmics, LLC.",http://www.allegroeye.com/,http://www.allegroeye.com/press/
"Allena Pharmaceuticals, Inc.",http://www.allenapharma.com/,http://www.allenapharma.com/press-releases
Allergan plc,https://www.allergan.com/home,https://www.allergan.com/news/list
Allergy Therapeutics plc,http://www.allergytherapeutics.com/,http://www.allergytherapeutics.com/investor-relations/lse-regulatory-news/
"AlloCure, Inc.",none,
Alloksys Life Sciences BV,http://www.alloksys.com/,http://www.alloksys.com/new-blog
"Alnylam Pharmaceuticals, Inc.",http://www.alnylam.com/,http://investors.alnylam.com/releases.cfm
"Alopexx Pharmaceuticals, LLC",http://www.alopexx.com/,http://www.alopexx.com/in-the-press/
"alphaGEN Co., Ltd.",none,
"AlphaVax, Inc.",none,
"Alseres Pharmaceuticals, Inc.",http://www.alseres.com/,
"Altheos, Inc.",none,
"Altheus Therapeutics, Inc.",none,
